"","symboling","normalized-losses","make","fuel-type","aspiration","num-of-doors","body-style","drive-wheels","engine-location","wheel-base","length","width","height","curb-weight","engine-type","num-of-cylinders","engine-size","fuel-system","bore","stroke","compression-ratio","horsepower","peak-rpm","city-mpg","highway-mpg","price","date"
"143",1,"113","mazda","gas","std","four","sedan","fwd","front",93.1,166.8,64.2,54.1,1950,"ohc","four",91,"2bbl","3.08","3.15",9,"68","5000",31,38,"7395","2019-08-06"
"144",1,"119","plymouth","gas","turbo","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,2128,"ohc","four",98,"spdi","3.03","3.39",7.6,"102","5500",24,30,"7957","2019-03-21"
"145",2,"?","isuzu","gas","std","two","hatchback","rwd","front",96,172.6,65.2,51.4,2734,"ohc","four",119,"spfi","3.43","3.23",9.2,"90","5000",24,29,"11048","2017-08-07"
"146",1,"128","nissan","gas","std","two","sedan","fwd","front",94.5,165.3,63.8,54.5,1918,"ohc","four",97,"2bbl","3.15","3.29",9.4,"69","5200",31,37,"6649","2019-04-09"
"147",2,"161","mitsubishi","gas","std","two","hatchback","fwd","front",93.7,157.3,64.4,50.8,2004,"ohc","four",92,"2bbl","2.97","3.23",9.4,"68","5500",31,38,"6669","2019-04-05"
"148",-1,"95","volvo","gas","turbo","four","sedan","rwd","front",109.1,188.8,68.9,55.5,3062,"ohc","four",141,"mpfi","3.78","3.15",9.5,"114","5400",19,25,"22625","2015-11-02"
"149",0,"?","renault","gas","std","four","wagon","fwd","front",96.1,181.5,66.5,55.2,2579,"ohc","four",132,"mpfi","3.46","3.9",8.7,"?","?",23,31,"9295","2018-06-03"
"150",0,"102","subaru","gas","std","four","sedan","fwd","front",97.2,172,65.4,52.5,2190,"ohcf","four",108,"2bbl","3.62","2.64",9.5,"82","4400",28,33,"7775","2018-03-08"
"151",1,"148","dodge","gas","std","four","sedan","fwd","front",93.7,157.3,63.8,50.6,1989,"ohc","four",90,"2bbl","2.97","3.23",9.4,"68","5500",31,38,"7609","2019-06-11"
"152",0,"118","mazda","gas","std","four","sedan","rwd","front",104.9,175,66.1,54.4,2670,"ohc","four",140,"mpfi","3.76","3.16",8,"120","5000",19,27,"18280","2016-08-15"
"153",0,"115","mazda","gas","std","four","hatchback","fwd","front",98.8,177.8,66.5,55.5,2425,"ohc","four",122,"2bbl","3.39","3.39",8.6,"84","4800",26,32,"11245","2017-07-12"
"154",1,"154","plymouth","gas","std","four","sedan","fwd","front",93.7,167.3,63.8,50.8,2191,"ohc","four",98,"2bbl","2.97","3.23",9.4,"68","5500",31,38,"7609","2019-12-25"
"155",1,"168","toyota","gas","std","two","sedan","rwd","front",94.5,168.7,64,52.6,2169,"ohc","four",98,"2bbl","3.19","3.03",9,"70","4800",29,34,"8058","2018-04-23"
"156",1,"154","plymouth","gas","std","four","sedan","fwd","front",93.7,167.3,63.8,50.8,1989,"ohc","four",90,"2bbl","2.97","3.23",9.4,"68","5500",31,38,"6692","2019-03-10"
"157",2,"83","subaru","gas","std","two","hatchback","4wd","front",93.3,157.3,63.8,55.7,2240,"ohcf","four",108,"2bbl","3.62","2.64",8.7,"73","4400",26,31,"7603","2019-08-24"
"158",3,"145","dodge","gas","turbo","two","hatchback","fwd","front",95.9,173.2,66.3,50.2,2811,"ohc","four",156,"mfi","3.6","3.9",7,"145","5000",19,24,"12964","2017-08-24"
"159",-1,"95","volvo","gas","std","four","sedan","rwd","front",109.1,188.8,68.9,55.5,3012,"ohcv","six",173,"mpfi","3.58","2.87",8.8,"134","5500",18,23,"21485","2015-06-16"
"160",0,"91","toyota","gas","std","four","sedan","fwd","front",95.7,166.3,64.4,52.8,2140,"ohc","four",98,"2bbl","3.19","3.03",9,"70","4800",28,34,"9258","2017-05-16"
"161",2,"94","volkswagen","gas","std","four","sedan","fwd","front",97.3,171.7,65.5,55.7,2212,"ohc","four",109,"mpfi","3.19","3.4",9,"85","5250",27,34,"8195","2018-01-19"
"162",2,"134","toyota","gas","std","two","hardtop","rwd","front",98.4,176.2,65.6,52,2679,"ohc","four",146,"mpfi","3.62","3.5",9.3,"116","4800",24,30,"11199","2017-04-27"
"163",2,"122","volkswagen","gas","std","two","sedan","fwd","front",97.3,171.7,65.5,55.7,2209,"ohc","four",109,"mpfi","3.19","3.4",9,"85","5250",27,34,"7975","2018-01-20"
"164",3,"?","alfa-romero","gas","std","two","convertible","rwd","front",88.6,168.8,64.1,48.8,2548,"dohc","four",130,"mpfi","3.47","2.68",9,"111","5000",21,27,"16500","2016-04-18"
"165",0,"102","subaru","gas","turbo","four","sedan","4wd","front",97,172,65.4,54.3,2510,"ohcf","four",108,"mpfi","3.62","2.64",7.7,"111","4800",24,29,"11259","2017-05-09"
"166",-1,"65","toyota","gas","std","four","hatchback","fwd","front",102.4,175.6,66.5,53.9,2458,"ohc","four",122,"mpfi","3.31","3.54",8.7,"92","4200",27,32,"11248","2015-02-02"
"167",1,"231","nissan","gas","std","two","hatchback","rwd","front",99.2,178.5,67.9,49.7,3139,"ohcv","six",181,"mpfi","3.43","3.27",9,"160","5200",19,25,"18399","2016-01-02"
"168",0,"?","mazda","diesel","std","four","sedan","rwd","front",104.9,175,66.1,54.4,2700,"ohc","four",134,"idi","3.43","3.64",22,"72","4200",31,39,"18344","2014-11-04"
"169",1,"161","mitsubishi","gas","turbo","two","hatchback","fwd","front",93,157.3,63.8,50.8,2145,"ohc","four",98,"spdi","3.03","3.39",7.6,"102","5500",24,30,"7689","2019-06-11"
"170",-2,"103","volvo","gas","turbo","four","sedan","rwd","front",104.3,188.8,67.2,56.2,3045,"ohc","four",130,"mpfi","3.62","3.15",7.5,"162","5100",17,22,"18420","2015-05-14"
"171",1,"125","mitsubishi","gas","std","four","sedan","fwd","front",96.3,172.4,65.4,51.6,2405,"ohc","four",122,"2bbl","3.35","3.46",8.5,"88","5000",25,32,"8189","2018-05-02"
"172",0,"85","subaru","gas","turbo","four","wagon","4wd","front",96.9,173.6,65.4,54.9,2650,"ohcf","four",108,"mpfi","3.62","2.64",7.7,"111","4800",23,23,"11694","2017-10-05"
"173",1,"168","toyota","gas","std","two","hatchback","rwd","front",94.5,168.7,64,52.6,2204,"ohc","four",98,"2bbl","3.19","3.03",9,"70","4800",29,34,"8238","2018-04-10"
"174",0,"?","volkswagen","gas","std","four","wagon","fwd","front",100.4,183.1,66.9,55.1,2563,"ohc","four",109,"mpfi","3.19","3.4",9,"88","5500",25,31,"12290","2017-09-01"
"175",0,"91","toyota","gas","std","four","sedan","fwd","front",95.7,166.3,64.4,53,2094,"ohc","four",98,"2bbl","3.19","3.03",9,"70","4800",38,47,"7738","2019-08-28"
"176",0,"91","toyota","diesel","std","four","hatchback","fwd","front",95.7,166.3,64.4,52.8,2275,"ohc","four",110,"idi","3.27","3.35",22.5,"56","4500",38,47,"7788","2018-08-17"
"177",-1,"74","volvo","gas","turbo","four","wagon","rwd","front",104.3,188.8,67.2,57.5,3157,"ohc","four",130,"mpfi","3.62","3.15",7.5,"162","5100",17,22,"18950","2016-03-23"
"178",2,"134","toyota","gas","std","two","hatchback","rwd","front",98.4,176.2,65.6,52,2714,"ohc","four",146,"mpfi","3.62","3.5",9.3,"116","4800",24,30,"11549","2019-07-10"
"179",-1,"74","volvo","gas","std","four","wagon","rwd","front",104.3,188.8,67.2,57.5,3042,"ohc","four",141,"mpfi","3.78","3.15",9.5,"114","5400",24,28,"16515","2016-08-09"
"180",2,"164","audi","gas","std","four","sedan","4wd","front",99.4,176.6,66.4,54.3,2824,"ohc","five",136,"mpfi","3.19","3.4",8,"115","5500",18,22,"17450","2016-03-05"
"181",1,"?","mercury","gas","turbo","two","hatchback","rwd","front",102.7,178.4,68,54.8,2910,"ohc","four",140,"mpfi","3.78","3.12",8,"175","5000",19,24,"16503","2016-01-16"
"182",3,"186","porsche","gas","std","two","hatchback","rwd","front",94.5,168.9,68.3,50.2,2778,"ohc","four",151,"mpfi","3.94","3.11",9.5,"143","5500",19,27,"22018","2015-11-03"
"183",-1,"137","mitsubishi","gas","std","four","sedan","fwd","front",96.3,172.4,65.4,51.6,2403,"ohc","four",110,"spdi","3.17","3.46",7.5,"116","5500",23,30,"9279","2018-11-16"
"184",0,"161","peugot","diesel","turbo","four","sedan","rwd","front",107.9,186.7,68.4,56.7,3197,"l","four",152,"idi","3.7","3.52",21,"95","4150",28,33,"13200","2016-05-11"
"185",3,"?","volkswagen","gas","std","two","convertible","fwd","front",94.5,159.3,64.2,55.6,2254,"ohc","four",109,"mpfi","3.19","3.4",8.5,"90","5500",24,29,"11595","2017-01-04"
"186",-1,"93","mercedes-benz","diesel","turbo","four","sedan","rwd","front",110,190.9,70.3,56.5,3515,"ohc","five",183,"idi","3.58","3.64",21.5,"123","4350",22,25,"25552","2015-10-05"
"187",2,"104","saab","gas","turbo","four","sedan","fwd","front",99.1,186.6,66.5,56.1,2847,"dohc","four",121,"mpfi","3.54","3.07",9,"160","5500",19,26,"18620","2015-07-17"
"188",1,"128","nissan","gas","std","two","hatchback","fwd","front",94.5,165.6,63.8,53.3,2028,"ohc","four",97,"2bbl","3.15","3.29",9.4,"69","5200",31,37,"7799","2018-03-07"
"189",-1,"95","volvo","gas","turbo","four","sedan","rwd","front",109.1,188.8,68.8,55.5,3049,"ohc","four",141,"mpfi","3.78","3.15",8.7,"160","5300",19,25,"19045","2015-01-07"
"190",1,"158","audi","gas","turbo","four","sedan","fwd","front",105.8,192.7,71.4,55.9,3086,"ohc","five",131,"mpfi","3.13","3.4",8.3,"140","5500",17,20,"23875","2015-10-23"
"191",0,"106","honda","gas","std","two","hatchback","fwd","front",96.5,167.5,65.2,53.3,2236,"ohc","four",110,"1bbl","3.15","3.58",9,"86","5800",27,33,"7895","2017-10-17"
"192",0,"93","mercedes-benz","diesel","turbo","two","hardtop","rwd","front",106.7,187.5,70.3,54.9,3495,"ohc","five",183,"idi","3.58","3.64",21.5,"123","4350",22,25,"28176","2015-11-11"
"193",-1,"95","volvo","diesel","turbo","four","sedan","rwd","front",109.1,188.8,68.9,55.5,3217,"ohc","six",145,"idi","3.01","3.4",23,"106","4800",26,27,"22470","2015-12-13"
"194",1,"125","mitsubishi","gas","turbo","four","sedan","fwd","front",96.3,172.4,65.4,51.6,2403,"ohc","four",110,"spdi","3.17","3.46",7.5,"116","5500",23,30,"9279","2018-05-28"
"195",0,"?","volkswagen","gas","std","four","sedan","fwd","front",100.4,180.2,66.9,55.1,2661,"ohc","five",136,"mpfi","3.19","3.4",8.5,"110","5500",19,24,"13295","2017-02-23"
"196",3,"197","toyota","gas","std","two","hatchback","rwd","front",102.9,183.5,67.7,52,2976,"dohc","six",171,"mpfi","3.27","3.35",9.3,"161","5200",20,24,"16558","2016-06-11"
"197",1,"?","bmw","gas","std","four","sedan","rwd","front",103.5,189,66.9,55.7,3055,"ohc","six",164,"mpfi","3.31","3.19",9,"121","4250",20,25,"24565","2015-06-20"
"198",1,"168","toyota","gas","std","two","sedan","rwd","front",94.5,168.7,64,52.6,2265,"dohc","four",98,"mpfi","3.24","3.08",9.4,"112","6600",26,29,"9298","2018-07-01"
"199",3,"150","mazda","gas","std","two","hatchback","rwd","front",95.3,169,65.7,49.6,2380,"rotor","two",70,"4bbl","?","?",9.4,"101","6000",17,23,"11845","2017-03-05"
"200",1,"?","audi","gas","std","four","wagon","fwd","front",105.8,192.7,71.4,55.7,2954,"ohc","five",136,"mpfi","3.19","3.4",8.5,"110","5500",19,25,"18920","2015-02-06"
"201",-1,"74","volvo","gas","std","four","wagon","rwd","front",104.3,188.8,67.2,57.5,3034,"ohc","four",141,"mpfi","3.78","3.15",9.5,"114","5400",23,28,"13415","2017-10-23"
"202",0,"91","toyota","diesel","std","four","sedan","fwd","front",95.7,166.3,64.4,53,2275,"ohc","four",110,"idi","3.27","3.35",22.5,"56","4500",34,36,"7898","2018-06-18"
"203",0,"161","peugot","gas","std","four","sedan","rwd","front",107.9,186.7,68.4,56.7,3075,"l","four",120,"mpfi","3.46","3.19",8.4,"97","5000",19,24,"16630","2016-10-11"
"204",-1,"93","mercedes-benz","diesel","turbo","four","wagon","rwd","front",110,190.9,70.3,58.7,3750,"ohc","five",183,"idi","3.58","3.64",21.5,"123","4350",22,25,"28248","2015-09-12"
"205",2,"168","nissan","gas","std","two","hardtop","fwd","front",95.1,162.4,63.8,53.3,2008,"ohc","four",97,"2bbl","3.15","3.29",9.4,"69","5200",31,37,"8249","2018-03-24"
